instancecount,qos,delay,msg_rate,loss_rate,out_of_order,average_delay,msgs_recv_broker,sockets,published_dropped,inflight
1,0,0,4829.35,0.0,0.0,0.0173,149601.62,0.37,1.94,0
1,0,1,25.6167,0.0,0.0,0.0255,60495.90,0.15,0.78,0
1,0,2,13.1,0.0,0.0,0.0419,20490.46,0.06,0.26,0
1,0,4,6.6667,0.0,0.0,0.0576,6974.07,0,0.09,0
1,1,0,1092.2333,0.0,0.0,0.0097,33453.27,0,6407.74,0
1,1,1,21.65,0.0,0.0,0.0269,11615.01,0,2132.95,0
1,1,2,11.2167,0.0,0.0,0.0334,4116.83,0,710.00,0
1,1,4,5.7333,0.0,0.0,0.0406,1802.29,0,283.89,0
1,2,0,1092.2333,0.0,0.0,0.0154,59799.38,0,0,0
1,2,1,21.65,0.0,0.0,0.0351,20859.03,0,0,0
1,2,2,11.1167,0.0,0.0,0.0402,7435.01,0,0,0
1,2,4,5.7167,0.0,0.0,0.0556,2729.37,0,0,0
2,0,0,5439.7,0.5444,0.0,0.0132,299454.16,0,168765.21,0
2,0,1,51.15,0.0,0.0,0.0411,100806.90,0,56177.06,0
2,0,2,26.4167,0.0,0.0,0.0397,34139.94,0,18699.72,0
2,0,4,13.3,0.0,0.0,0.0558,11660.76,0,6224.60,0
2,1,0,2184.4667,0.0,0.0,0.0158,58124.60,0,94.50,0
2,1,1,43.2333,0.0,0.0,0.0354,20491.22,0,31.46,0
2,1,2,22.3833,0.0,0.0,0.0444,7315.86,0,10.47,0
2,1,4,11.4833,0.0,0.0,0.0541,2691.06,0,3.49,0
2,2,0,2184.4667,0.0,0.0,0.0174,96682.43,0,0,0
2,2,1,43.3667,0.0,0.0,0.0368,40946.79,0,0,0
2,2,2,26.3,0.0,0.0,0.0441,15020.69,0,0,0
2,2,4,13.4,0.0,0.0,0.0544,5593.06,0,0,0
3,0,0,6275.8833,0.6439,0.0,0.0199,390242.29,0,250858.53,0
3,0,1,76.95,0.0,0.0,0.042,158070.09,0,100305.70,0
3,0,2,39.3333,0.0,0.0,0.0494,53657.72,0,33388.87,0
3,0,4,20.1333,0.0,0.0,0.0704,18307.07,0,11114.19,0
3,1,0,3276.7,0.0,0.0,0.0258,72726.36,0,1.16,0
3,1,1,64.9333,0.0,0.0,0.0468,25636.66,0,0.39,0
3,1,2,33.5,0.0,0.0,0.0608,11136.93,0,0.15,0
3,1,4,17.25,0.0,0.0,0.0705,4166.54,0,0.05,0
3,2,0,3276.7,0.0,0.0,0.0412,156714.82,0,0,0
3,2,1,77.5167,0.0,0.0,0.0544,55571.61,0,0,0
3,2,2,33.6833,0.0,0.0,0.0636,19981.48,0,0,0
3,2,4,17.3833,0.0,0.0,0.0759,7420.86,0,0,0
4,0,0,7253.0,0.6807,0.0,0.027,536222.61,0,368106.93,0
4,0,1,102.8,0.0,0.0,0.0513,180750.95,0,122532.15,0
4,0,2,44.8833,0.0,0.0,0.0655,61155.71,0,40787.41,0
4,0,4,23.1333,0.0,0.0,0.062,25066.69,0,16308.83,0
4,1,0,4368.9333,0.0,0.0,0.0329,116431.25,0,0,0
4,1,1,86.75,0.0,0.0,0.0566,40665.96,0,0,0
4,1,2,44.6167,0.0,0.0,0.0717,14520.98,0,0,0
4,1,4,23.0,0.0,0.0,0.0832,5344.56,0,0,0
4,2,0,4368.9333,0.0,0.0,0.0581,194014.12,0,0,0
4,2,1,87.1333,0.0,0.0,0.0831,82173.62,0,0,0
4,2,2,44.85,0.0,0.0,0.0908,29722.96,0,0,0
4,2,4,23.0667,0.0,0.0,0.0953,10912.28,0,0,0
5,0,0,8055.45,0.7002,0.0,0.0349,736943.96,0,521915.81,0
5,0,1,108.5833,0.0,0.0,0.0607,248175.83,0,173730.68,0
5,0,2,56.2167,0.0,0.0,0.077,83850.04,0,57829.92,0
5,0,4,29.0333,0.0,0.0,0.0822,28554.03,0,19249.91,0
5,1,0,5461.1667,0.0,0.0,0.0402,121496.26,0,0,0
5,1,1,108.6333,0.0,0.0,0.0664,51447.88,0,0,0
5,1,2,55.9167,0.0,0.0,0.0836,18604.87,0,0,0
5,1,4,28.9167,0.0,0.0,0.0949,6833.05,0,0,0
5,2,0,5461.1667,0.0,0.0,0.0718,276076.08,0,0,0
5,2,1,108.05,0.0,0.0,0.0971,96641.91,0,0,0
5,2,2,56.0167,0.0,0.0,0.1044,34631.87,0,0,0
5,2,4,28.9167,0.0,0.0,0.1167,15378.36,0,0,0
