instancecount,qos,delay,msg_rate,loss_rate,out_of_order,average_delay,msgs_recv_broker,msgs_sent_broker,sockets,published_dropped
1,0,0,48882.9667,0.0,0.0,0.0205,2006555.41,2006561.67,1.10,3998.81
1,0,1,593.8333,0.063,0.0,1.455,1979113.30,1318111.19,0.44,662339.67
1,0,2,327.6667,0.0,0.0,3.0518,670599.83,450575.72,0.15,220473.72
1,0,4,169.1667,0.0,0.0,5.9108,230098.43,156863.15,0.06,73389.33
1,1,0,2087.1167,0.9898,0.0,0.4789,272204.53,221465.22,0,50746.84
1,1,1,630.0167,0.0,0.0,1.5872,202907.54,182624.71,0,29073.79
1,1,2,327.05,0.0,0.0,3.0576,94779.85,88032.75,0,9677.82
1,1,4,168.35,0.0,0.0,5.9398,45233.63,42992.22,0,3221.47
1,2,0,767.3167,0.0,0.0,1.3032,203033.29,203038.51,0,9412.01
1,2,1,631.1667,0.0,0.0,1.5843,280141.12,280149.13,0,5535.90
1,2,2,326.95,0.0,0.0,3.0584,147883.05,147889.59,0,1842.74
1,2,4,169.1,0.0,0.0,5.9131,77072.52,77079.07,0,613.40
2,0,0,84165.0333,0.0051,0.0,0.0237,2998717.07,2950704.04,0,48079.90
2,0,1,1181.0333,0.0738,0.0,1.3449,2991596.24,1624931.62,0,1366799.61
2,0,2,655.9833,0.0,0.0,3.041,1219605.14,673148.28,0,546514.35
2,0,4,338.2,0.0,0.0,5.8986,419879.30,237983.99,0,181918.82
2,1,0,17703.5167,0.9538,0.0,0.1127,1348699.73,1347957.96,0,1072.33
2,1,1,1252.25,0.0,0.0,1.5875,712290.91,711997.44,0,31286.00
2,1,2,654.4667,0.0,0.0,3.0483,292233.16,292140.89,0,10414.20
2,1,4,337.8333,0.0,0.0,5.9059,124854.80,124828.03,0,3466.59
2,2,0,8291.85,0.9749,0.0,0.241,1275278.84,1275292.64,0,204.18
2,2,1,1269.2833,0.0,0.0,1.5734,865847.76,865853.32,0,27501.80
2,2,2,655.8833,0.0,0.0,3.0448,397996.36,398002.45,0,9154.56
2,2,4,337.4667,0.0,0.0,5.8846,188244.42,188250.68,0,3047.29
3,0,0,127370.4,0.2182,0.0,0.0227,6177447.14,4867786.19,0,1309673.16
3,0,1,1769.75,0.0732,0.0,1.4616,4361413.98,2454390.10,0,1907105.92
3,0,2,984.85,0.0,0.0,3.0402,1489089.84,854301.12,0,634820.41
3,0,4,509.9,0.0,0.0,5.8714,514211.65,302916.88,0,211313.36
3,1,0,25836.15,0.9576,0.0,0.1063,2126655.33,2126649.90,0,152291.24
3,1,1,1880.7833,0.0,0.0,1.5891,1100991.15,1100993.82,0,117462.99
3,1,2,981.65,0.0,0.0,3.0444,448633.78,448637.71,0,39100.03
3,1,4,507.85,0.0,0.0,5.8845,190910.34,190915.47,0,13015.27
3,2,0,14670.65,0.9732,0.0,0.2004,2352293.72,2352310.52,0,36112.19
3,2,1,1928.9167,0.0084,0.0,1.5344,1265368.29,1265373.92,0,59983.69
3,2,2,985.3833,0.0,0.0,3.0294,646011.82,646018.24,0,23984.46
3,2,4,508.45,0.0,0.0,5.8562,299576.56,299582.61,0,7983.73
4,0,0,123269.65,0.0827,0.0,0.032,5026686.29,4523592.59,0,503147.32
4,0,1,2146.8667,0.1575,0.0,1.4853,4415705.04,2305856.34,0,2109928.47
4,0,2,1313.4167,0.0,0.0,3.0372,1519086.67,816783.43,0,702334.18
4,0,4,680.7,0.0,0.0,5.8608,531455.71,297683.66,0,233786.74
4,1,0,33903.85,0.9489,0.0,0.1095,2761837.13,2761851.56,0,138331.15
4,1,1,2516.2167,0.0,0.0,1.5836,1439534.54,1439538.42,0,139406.10
4,1,2,1308.8167,0.0,0.0,3.0441,588926.77,588931.25,0,46404.26
4,1,4,676.0,0.0,0.0,5.8762,251834.12,251839.65,0,15446.64
4,2,0,17041.8167,0.9719,0.0,0.2114,2830769.38,2830786.09,0,90588.53
4,2,1,2534.5833,0.0313,0.0,1.5154,1599538.52,1599540.36,0,102977.06
4,2,2,1316.7,0.0,0.0,3.0125,823185.45,823192.21,0,41175.34
4,2,4,681.1667,0.0,0.0,5.8295,388864.38,388870.40,0,13706.08
5,0,0,88912.5167,0.011,0.0,0.0533,3379814.38,3286345.97,0,93479.55
5,0,1,3357.5833,-0.0479,0.2457,1.4336,4360284.77,1975545.46,0,2384749.29
5,0,2,1636.7833,0.0,0.0,3.0361,917087.28,459108.26,0,457990.88
5,0,4,847.2333,0.0,0.0,5.8611,340078.43,187634.84,0,152451.92
5,1,0,25777.75,0.9646,0.0,0.1651,2391839.59,2391852.75,0,348461.68
5,1,1,3166.4333,0.0011,0.0,1.5735,1358238.10,1358241.72,0,255184.47
5,1,2,1630.9333,0.0,0.0,3.0405,590141.07,590146.17,0,84943.53
5,1,4,846.9667,0.0,0.0,5.8701,266006.96,266013.89,0,28275.24
5,2,0,17105.5833,0.9711,0.0,0.2779,2809476.85,2809490.54,0,82943.38
5,2,1,3131.4167,0.0457,0.0,1.5077,1803982.33,1803982.93,0,127092.36
5,2,2,1653.1333,0.0,0.0,2.9953,854938.41,854942.69,0,42305.37
5,2,4,858.5,0.0,0.0,5.7949,463169.23,463175.45,0,16915.79
