name,msg_rate,loss_rate,out_of_order
1/0/0,5023.3333,0.0,0.0
1/0/1,25.9667,0.0,0.0
1/0/2,13.0833,0.0,0.0
1/0/4,6.65,0.0,0.0
1/1/0,1092.2333,0.0,0.0
1/1/1,21.7667,0.0,0.0
1/1/2,11.05,0.0,0.0
1/1/4,5.6,0.0,0.0
1/2/0,1092.2333,0.0,0.0
1/2/1,25.7833,0.0,0.0
1/2/2,11.1,0.0,0.0
1/2/4,5.6167,0.0,0.0
2/0/0,9836.0333,0.1012,0.0
2/0/1,52.8,0.0,0.0
2/0/2,26.35,0.0,0.0
2/0/4,13.3,0.0,0.0
2/1/0,2184.4667,0.0,0.0
2/1/1,51.7667,0.0,0.0
2/1/2,26.3333,0.0,0.0
2/1/4,13.3167,0.0,0.0
2/2/0,2184.4667,0.0,0.0
2/2/1,51.0167,0.0,0.0
2/2/2,26.4167,0.0,0.0
2/2/4,13.3333,0.0,0.0
3/0/0,10295.3333,0.2341,0.0
3/0/1,88.6,0.0,0.0
3/0/2,39.8333,0.0,0.0
3/0/4,20.0833,0.0,0.0
3/1/0,3276.7,0.0,0.0
3/1/1,77.7,0.0,0.0
3/1/2,39.5,0.0,0.0
3/1/4,20.0167,0.0,0.0
3/2/0,2951.4,0.0,0.0
3/2/1,78.25,0.0,0.0
3/2/2,39.5,0.0,0.0
3/2/4,20.0667,0.0,0.0
4/0/0,10233.6667,0.1608,0.0
4/0/1,122.6833,0.0,0.0
4/0/2,53.1167,0.0,0.0
4/0/4,26.7667,0.0,0.0
4/1/0,4368.9333,0.0,0.0
4/1/1,104.5333,0.0,0.0
4/1/2,52.6333,0.0,0.0
4/1/4,26.7167,0.0,0.0
4/2/0,2405.6333,0.0,0.0
4/2/1,-0.0667,0.0,0.0
4/2/2,52.75,0.0,0.0
4/2/4,26.7333,0.0,0.0
5/0/0,10061.4333,0.2172,0.0
5/0/1,66.15,0.4768,0.0
5/0/2,66.5667,0.0,0.0
5/0/4,33.7667,0.0,0.0
5/1/0,5207.2,0.0,0.0
5/1/1,132.8833,0.0,0.0
5/1/2,65.85,0.0,0.0
5/1/4,33.5167,0.0,0.0
5/2/0,2943.2167,0.0,0.0
5/2/1,-0.0833,0.0,0.0
5/2/2,66.7667,0.0,0.0
5/2/4,33.4,0.0,0.0
