msgcount,current,max,instance,topic
3489166,3489166,3489166,0,1/0/0
35915,38065,38065,0,1/0/1
19653,19653,19653,0,1/0/2
10159,10159,10159,0,1/0/4
130568,12385613,12385613,0,1/1/0
37813,37813,37813,0,1/1/1
19491,19491,19491,0,1/1/2
10120,10120,10120,0,1/1/4
39841,39841,39841,0,1/2/0
37842,37842,37842,0,1/2/1
19619,19619,19619,0,1/2/2
10121,10121,10121,0,1/2/4
2714958,2714958,2714958,0,2/0/0
2566991,2566991,2566991,1,2/0/0
33430,38270,38270,0,2/0/1
36589,38262,38262,1,2/0/1
19437,19437,19437,0,2/0/2
19715,19715,19715,1,2/0/2
10196,10196,10196,0,2/0/4
10174,10174,10174,1,2/0/4
508659,11518539,11518539,0,2/1/0
515904,11591319,11591319,1,2/1/0
37430,37430,37430,0,2/1/1
37766,37766,37766,1,2/1/1
19501,19501,19501,0,2/1/2
19675,19675,19675,1,2/1/2
10061,10061,10061,0,2/1/4
10156,10156,10156,1,2/1/4
245463,10075713,10075713,0,2/2/0
246869,9814979,9814979,1,2/2/0
37835,37835,37835,0,2/2/1
37281,37281,37281,1,2/2/1
19630,19630,19630,0,2/2/2
19670,19670,19670,1,2/2/2
10142,10142,10142,0,2/2/4
10155,10155,10155,1,2/2/4
2621680,3331642,3331642,0,3/0/0
2411518,3125101,3125101,1,3/0/0
2448989,2864599,2864599,2,3/0/0
34603,38177,38177,0,3/0/1
34025,38169,38169,1,3/0/1
38189,38189,38189,2,3/0/1
19463,19463,19463,0,3/0/2
19734,19734,19734,1,3/0/2
19657,19657,19657,2,3/0/2
10208,10208,10208,0,3/0/4
10181,10181,10181,1,3/0/4
10150,10150,10150,2,3/0/4
574445,12174141,12174141,0,3/1/0
444542,12104822,12104822,1,3/1/0
441824,12034526,12034526,2,3/1/0
37405,37405,37405,0,3/1/1
37730,37730,37730,1,3/1/1
37434,37434,37434,2,3/1/1
19516,19516,19516,0,3/1/2
19704,19704,19704,1,3/1/2
19539,19539,19539,2,3/1/2
10193,10193,10193,0,3/1/4
10094,10094,10094,1,3/1/4
10026,10026,10026,2,3/1/4
293819,11565839,11565839,0,3/2/0
275044,11230804,11230804,1,3/2/0
281596,11494495,11494495,2,3/2/0
37877,37963,37963,0,3/2/1
37947,37947,37947,1,3/2/1
37729,37967,37967,2,3/2/1
19676,19676,19676,0,3/2/2
19720,19720,19720,1,3/2/2
19672,19672,19672,2,3/2/2
10193,10193,10193,0,3/2/4
10200,10200,10200,1,3/2/4
10170,10170,10170,2,3/2/4
1920080,2025160,2025160,0,4/0/0
1894977,2000158,2000158,1,4/0/0
1771323,1874031,1874031,2,4/0/0
1877051,1982166,1982166,3,4/0/0
32971,38243,38243,0,4/0/1
28951,38291,38291,1,4/0/1
31791,38262,38262,2,4/0/1
32109,38224,38224,3,4/0/1
19744,19744,19744,0,4/0/2
19638,19638,19638,1,4/0/2
19631,19631,19631,2,4/0/2
19712,19712,19712,3,4/0/2
10221,10221,10221,0,4/0/4
10175,10175,10175,1,4/0/4
10188,10188,10188,2,4/0/4
10217,10217,10217,3,4/0/4
568102,10070677,10070677,0,4/1/0
448811,9995239,9995239,1,4/1/0
448808,9923625,9923625,2,4/1/0
480666,10204479,10204479,3,4/1/0
37586,37586,37586,0,4/1/1
37784,37852,37852,1,4/1/1
37611,37611,37611,2,4/1/1
37784,37784,37784,3,4/1/1
19552,19552,19552,0,4/1/2
19733,19733,19733,1,4/1/2
19558,19558,19558,2,4/1/2
19658,19658,19658,3,4/1/2
10207,10207,10207,0,4/1/4
10133,10133,10133,1,4/1/4
10216,10216,10216,2,4/1/4
10083,10083,10083,3,4/1/4
295140,10518600,10518600,0,4/2/0
263025,10114309,10114309,1,4/2/0
269392,10313274,10313274,2,4/2/0
279295,10448304,10448304,3,4/2/0
38516,38516,38516,0,4/2/1
38488,38488,38488,1,4/2/1
38056,38519,38519,2,4/2/1
37580,38498,38498,3,4/2/1
19754,19754,19754,0,4/2/2
19786,19786,19786,1,4/2/2
19746,19746,19746,2,4/2/2
19685,19685,19685,3,4/2/2
10222,10222,10222,0,4/2/4
10218,10218,10218,1,4/2/4
10196,10196,10196,2,4/2/4
10179,10179,10179,3,4/2/4
1108714,1108714,1108714,0,5/0/0
1193020,1193020,1193020,1,5/0/0
990346,990346,990346,2,5/0/0
1054575,1054575,1054575,3,5/0/0
1012608,1012608,1012608,4,5/0/0
39596,9544,38518,0,5/0/1
38588,11504,38447,1,5/0/1
38968,11511,38462,2,5/0/1
40265,8876,38489,3,5/0/1
39534,8697,38478,4,5/0/1
18730,18730,18730,0,5/0/2
19730,19730,19730,1,5/0/2
19736,19736,19736,2,5/0/2
18385,18385,18385,3,5/0/2
18292,18292,18292,4,5/0/2
10045,10045,10045,0,5/0/4
10224,10224,10224,1,5/0/4
10215,10215,10215,2,5/0/4
9866,9866,9866,3,5/0/4
9833,9833,9833,4,5/0/4
421610,8744619,8744619,0,5/1/0
277946,8741674,8741674,1,5/1/0
280255,8605981,8605981,2,5/1/0
301267,8743775,8743775,3,5/1/0
280058,8945083,8945083,4,5/1/0
38047,38053,38053,0,5/1/1
37738,38081,38081,1,5/1/1
38009,38053,38053,2,5/1/1
37853,38067,38067,3,5/1/1
37645,38076,38076,4,5/1/1
19708,19708,19708,0,5/1/2
19538,19538,19538,1,5/1/2
19715,19715,19715,2,5/1/2
19469,19469,19469,3,5/1/2
19585,19585,19585,4,5/1/2
10127,10127,10127,0,5/1/4
10082,10082,10082,1,5/1/4
10158,10158,10158,2,5/1/4
10197,10197,10197,3,5/1/4
10096,10096,10096,4,5/1/4
222380,7758924,7758924,0,5/2/0
196411,7624958,7624958,1,5/2/0
199642,7558683,7558683,2,5/2/0
206685,7625278,7625278,3,5/2/0
189357,7489684,7489684,4,5/2/0
38979,38979,38979,0,5/2/1
36515,38981,38981,1,5/2/1
38167,38966,38966,2,5/2/1
37763,38988,38988,3,5/2/1
38632,38965,38965,4,5/2/1
19808,19808,19808,0,5/2/2
19846,19846,19846,1,5/2/2
19798,19798,19798,2,5/2/2
19751,19751,19751,3,5/2/2
19670,19670,19670,4,5/2/2
10119,10119,10119,0,5/2/4
10133,10133,10133,1,5/2/4
10106,10106,10106,2,5/2/4
10240,10240,10240,3,5/2/4
10218,10218,10218,4,5/2/4
