msgcount,current,max,instance,topic
301400,301400,301400,0,1/0/0
1558,1558,1558,0,1/0/1
785,785,785,0,1/0/2
399,399,399,0,1/0/4
65534,65534,65534,0,1/1/0
1306,1306,1306,0,1/1/1
663,663,663,0,1/1/2
336,336,336,0,1/1/4
65534,65534,65534,0,1/2/0
1547,1547,1547,0,1/2/1
666,666,666,0,1/2/2
337,337,337,0,1/2/4
295088,328309,328309,0,2/0/0
295074,328307,328307,1,2/0/0
1584,1584,1584,0,2/0/1
1584,1584,1584,1,2/0/1
790,790,790,0,2/0/2
791,791,791,1,2/0/2
398,398,398,0,2/0/4
400,400,400,1,2/0/4
65534,65534,65534,0,2/1/0
65534,65534,65534,1,2/1/0
1552,1552,1552,0,2/1/1
1554,1554,1554,1,2/1/1
790,790,790,0,2/1/2
790,790,790,1,2/1/2
399,399,399,0,2/1/4
400,400,400,1,2/1/4
65534,65534,65534,0,2/2/0
65534,65534,65534,1,2/2/0
1533,1533,1533,0,2/2/1
1528,1528,1528,1,2/2/1
793,793,793,0,2/2/2
792,792,792,1,2/2/2
400,400,400,0,2/2/4
400,400,400,1,2/2/4
205911,268841,268841,0,3/0/0
205900,268840,268840,1,3/0/0
205909,268839,268839,2,3/0/0
1770,1770,1770,0,3/0/1
1772,1772,1772,1,3/0/1
1774,1774,1774,2,3/0/1
796,796,796,0,3/0/2
797,797,797,1,3/0/2
797,797,797,2,3/0/2
401,401,401,0,3/0/4
403,403,403,1,3/0/4
401,401,401,2,3/0/4
65534,65534,65534,0,3/1/0
65534,65534,65534,1,3/1/0
65534,65534,65534,2,3/1/0
1554,1554,1554,0,3/1/1
1554,1554,1554,1,3/1/1
1554,1554,1554,2,3/1/1
789,789,789,0,3/1/2
791,791,791,1,3/1/2
790,790,790,2,3/1/2
400,400,400,0,3/1/4
401,401,401,1,3/1/4
400,400,400,2,3/1/4
59028,59028,59028,0,3/2/0
59024,59024,59024,1,3/2/0
59032,59032,59032,2,3/2/0
1567,1567,1567,0,3/2/1
1571,1571,1571,1,3/2/1
1557,1557,1557,2,3/2/1
790,790,790,0,3/2/2
791,791,791,1,3/2/2
789,789,789,2,3/2/2
402,402,402,0,3/2/4
401,401,401,1,3/2/4
401,401,401,2,3/2/4
154073,183487,183487,0,4/0/0
159091,188507,188507,1,4/0/0
149146,178545,178545,2,4/0/0
151710,181125,181125,3,4/0/0
1840,1840,1840,0,4/0/1
1840,1840,1840,1,4/0/1
1841,1841,1841,2,4/0/1
1840,1840,1840,3,4/0/1
796,796,796,0,4/0/2
798,798,798,1,4/0/2
795,795,795,2,4/0/2
798,798,798,3,4/0/2
402,402,402,0,4/0/4
401,401,401,1,4/0/4
402,402,402,2,4/0/4
401,401,401,3,4/0/4
65534,65534,65534,0,4/1/0
65534,65534,65534,1,4/1/0
65534,65534,65534,2,4/1/0
65534,65534,65534,3,4/1/0
1569,1569,1569,0,4/1/1
1568,1568,1568,1,4/1/1
1565,1565,1565,2,4/1/1
1570,1570,1570,3,4/1/1
789,789,789,0,4/1/2
789,789,789,1,4/1/2
791,791,791,2,4/1/2
789,789,789,3,4/1/2
400,400,400,0,4/1/4
401,401,401,1,4/1/4
401,401,401,2,4/1/4
401,401,401,3,4/1/4
36077,36077,36077,0,4/2/0
36079,36079,36079,1,4/2/0
36083,36083,36083,2,4/2/0
36099,36099,36099,3,4/2/0
-1,0,0,0,4/2/1
-1,0,0,1,4/2/1
-1,0,0,2,4/2/1
-1,0,0,3,4/2/1
791,791,791,0,4/2/2
791,791,791,1,4/2/2
791,791,791,2,4/2/2
792,792,792,3,4/2/2
401,401,401,0,4/2/4
401,401,401,1,4/2/4
400,400,400,2,4/2/4
402,402,402,3,4/2/4
121491,154985,154985,0,5/0/0
122616,156120,156120,1,5/0/0
119814,153306,153306,2,5/0/0
122257,155759,155759,3,5/0/0
117508,151009,151009,4,5/0/0
743,1873,1873,0,5/0/1
1870,1870,1870,1,5/0/1
1170,1873,1873,2,5/0/1
98,98,98,3,5/0/1
88,1872,1872,4,5/0/1
800,800,800,0,5/0/2
799,799,799,1,5/0/2
800,800,800,2,5/0/2
799,799,799,3,5/0/2
796,796,796,4,5/0/2
408,408,408,0,5/0/4
403,403,403,1,5/0/4
404,404,404,2,5/0/4
406,406,406,3,5/0/4
405,405,405,4,5/0/4
62486,62486,62486,0,5/1/0
62486,62486,62486,1,5/1/0
62487,62487,62487,2,5/1/0
62487,62487,62487,3,5/1/0
62486,62486,62486,4,5/1/0
1594,1594,1594,0,5/1/1
1592,1592,1592,1,5/1/1
1594,1594,1594,2,5/1/1
1597,1597,1597,3,5/1/1
1596,1596,1596,4,5/1/1
790,790,790,0,5/1/2
791,791,791,1,5/1/2
789,789,789,2,5/1/2
791,791,791,3,5/1/2
790,790,790,4,5/1/2
402,402,402,0,5/1/4
403,403,403,1,5/1/4
401,401,401,2,5/1/4
403,403,403,3,5/1/4
402,402,402,4,5/1/4
35319,35319,35319,0,5/2/0
35319,35319,35319,1,5/2/0
35317,35317,35317,2,5/2/0
35319,35319,35319,3,5/2/0
35319,35319,35319,4,5/2/0
-1,0,0,0,5/2/1
-1,0,0,1,5/2/1
-1,0,0,2,5/2/1
-1,0,0,3,5/2/1
-1,0,0,4,5/2/1
800,800,800,0,5/2/2
801,801,801,1,5/2/2
802,802,802,2,5/2/2
801,801,801,3,5/2/2
802,802,802,4,5/2/2
400,400,400,0,5/2/4
401,401,401,1,5/2/4
402,402,402,2,5/2/4
400,400,400,3,5/2/4
401,401,401,4,5/2/4
